CustomerID,Spending Score
1,6
2,6
3,14
4,6
5,6
6,6
7,6
8,73
9,4
10,73
11,4
12,6
13,6
14,73
15,73
16,73
17,73
18,6
19,4
20,73
21,73
22,73
23,14
24,73
25,14
26,73
27,6
28,73
29,14
30,73
31,4
32,6
33,4
34,73
35,14
36,73
37,14
38,73
39,73
40,42
41,14
42,73
43,4
44,42
45,14
46,42
47,52
48,42
49,42
50,42
51,52
52,59
53,6
54,46
55,50
56,46
57,50
58,46
59,6
60,46
61,46
62,3
63,50
64,50
65,46
66,55
67,50
68,42
69,55
70,42
71,46
72,42
73,42
74,42
75,46
76,55
77,42
78,46
79,41
80,42
81,3
82,55
83,51
84,42
85,42
86,41
87,40
88,42
89,6
90,40
91,40
92,55
93,46
94,40
95,6
96,55
97,40
98,42
99,46
100,55
101,42
102,43
103,46
104,55
105,3
106,42
107,43
108,35
109,35
110,3
111,35
112,42
113,6
114,75
115,42
116,42
117,43
118,6
119,43
120,43
121,75
122,6
123,43
124,75
125,29
126,29
127,3
128,9
129,9
130,75
131,9
132,75
133,40
134,40
135,75
136,22
137,43
138,75
139,3
140,22
141,43
142,75
143,22
144,22
145,1
146,1
147,9
148,22
149,22
150,1
151,9
152,1
153,5
154,22
155,5
156,22
157,1
158,22
159,1
160,22
161,6
162,22
163,1
164,27
165,15
166,27
167,15
168,27
169,27
170,1
171,15
172,1
173,1
174,1
175,16
176,6
177,15
178,5
179,15
180,5
181,6
182,86
183,15
184,86
185,16
186,8
187,16
188,8
189,16
190,6
191,86
192,6
193,8
194,6
195,16
196,16
197,6
198,8
199,3
200,8
